ticker,date,close_price
NVDA,2024-08-26,126.25
NVDA,2024-08-27,128.09
NVDA,2024-08-28,125.4
NVDA,2024-08-29,117.4
NVDA,2024-08-30,119.17
NVDA,2024-09-03,107.82
NVDA,2024-09-04,106.04
NVDA,2024-09-05,107.03
NVDA,2024-09-06,102.66
NVDA,2024-09-09,106.29
NVDA,2024-09-10,107.92
NVDA,2024-09-11,116.72
NVDA,2024-09-12,118.95
NVDA,2024-09-13,118.91
NVDA,2024-09-16,116.6
NVDA,2024-09-17,115.41
NVDA,2024-09-18,113.19
NVDA,2024-09-19,117.69
NVDA,2024-09-20,115.82
NVDA,2024-09-23,116.08
NVDA,2024-09-24,120.68
NVDA,2024-09-25,123.32
NVDA,2024-09-26,123.85
NVDA,2024-09-27,121.21
NVDA,2024-09-30,121.25
NVDA,2024-10-01,116.82
NVDA,2024-10-02,118.66
NVDA,2024-10-03,122.66
NVDA,2024-10-04,124.73
NVDA,2024-10-07,127.52
NVDA,2024-10-08,132.68
NVDA,2024-10-09,132.44
NVDA,2024-10-10,134.6
NVDA,2024-10-11,134.59
NVDA,2024-10-14,137.85
NVDA,2024-10-15,131.39
NVDA,2024-10-16,135.51
NVDA,2024-10-17,136.72
NVDA,2024-10-18,137.78
NVDA,2024-10-21,143.49
NVDA,2024-10-22,143.37
NVDA,2024-10-23,139.34
NVDA,2024-10-24,140.19
NVDA,2024-10-25,141.32
NVDA,2024-10-28,140.3
NVDA,2024-10-29,141.03
NVDA,2024-10-30,139.12
NVDA,2024-10-31,132.55
NVDA,2024-11-01,135.19
NVDA,2024-11-04,135.84
NVDA,2024-11-05,139.69
NVDA,2024-11-06,145.38
NVDA,2024-11-07,148.65
NVDA,2024-11-08,147.4
NVDA,2024-11-11,145.03
NVDA,2024-11-12,148.06
NVDA,2024-11-13,146.04
NVDA,2024-11-14,146.53
NVDA,2024-11-15,141.76
NVDA,2024-11-18,139.93
NVDA,2024-11-19,146.78
NVDA,2024-11-20,145.66
NVDA,2024-11-21,146.44
NVDA,2024-11-22,141.73
NVDA,2024-11-25,135.81
NVDA,2024-11-26,136.71
NVDA,2024-11-27,135.13
NVDA,2024-11-29,138.03
NVDA,2024-12-02,138.41
NVDA,2024-12-03,140.04
NVDA,2024-12-04,144.91
NVDA,2024-12-05,144.84
NVDA,2024-12-06,142.23
NVDA,2024-12-09,138.6
NVDA,2024-12-10,134.87
NVDA,2024-12-11,139.1
NVDA,2024-12-12,137.14
NVDA,2024-12-13,134.05
NVDA,2024-12-16,131.8
NVDA,2024-12-17,130.2
NVDA,2024-12-18,128.72
NVDA,2024-12-19,130.49
NVDA,2024-12-20,134.5
NVDA,2024-12-23,139.46
NVDA,2024-12-24,140.01
NVDA,2024-12-26,139.72
NVDA,2024-12-27,136.81
NVDA,2024-12-30,137.28
NVDA,2024-12-31,134.09
NVDA,2025-01-02,138.1
NVDA,2025-01-03,144.25
NVDA,2025-01-06,149.21
NVDA,2025-01-07,139.93
NVDA,2025-01-08,139.9
NVDA,2025-01-10,135.71
NVDA,2025-01-13,133.03
NVDA,2025-01-14,131.56
NVDA,2025-01-15,136.04
NVDA,2025-01-16,133.37
NVDA,2025-01-17,137.5
NVDA,2025-01-21,140.62
NVDA,2025-01-22,146.85
NVDA,2025-01-23,147.0
NVDA,2025-01-24,142.41
NVDA,2025-01-27,118.24
NVDA,2025-01-28,128.8
NVDA,2025-01-29,123.52
NVDA,2025-01-30,124.46
NVDA,2025-01-31,119.89
NVDA,2025-02-03,116.49
NVDA,2025-02-04,118.47
NVDA,2025-02-05,124.64
NVDA,2025-02-06,128.49
NVDA,2025-02-07,129.65
NVDA,2025-02-10,133.37
NVDA,2025-02-11,132.6
NVDA,2025-02-12,130.94
NVDA,2025-02-13,135.09
NVDA,2025-02-14,138.64
NVDA,2025-02-18,139.19
NVDA,2025-02-19,139.02
NVDA,2025-02-20,139.9
NVDA,2025-02-21,134.23
NVDA,2025-02-24,130.09
NVDA,2025-02-25,126.44
NVDA,2025-02-26,131.08
NVDA,2025-02-27,119.97
NVDA,2025-02-28,124.73
NVDA,2025-03-03,113.89
NVDA,2025-03-04,115.82
NVDA,2025-03-05,117.13
NVDA,2025-03-06,110.41
NVDA,2025-03-07,112.52
NVDA,2025-03-10,106.82
NVDA,2025-03-11,108.6
NVDA,2025-03-12,115.58
NVDA,2025-03-13,115.42
NVDA,2025-03-14,121.5
NVDA,2025-03-17,119.36
NVDA,2025-03-18,115.27
NVDA,2025-03-19,117.36
NVDA,2025-03-20,118.36
NVDA,2025-03-21,117.54
NVDA,2025-03-24,121.24
NVDA,2025-03-25,120.52
NVDA,2025-03-26,113.6
NVDA,2025-03-27,111.27
NVDA,2025-03-28,109.52
NVDA,2025-03-31,108.23
NVDA,2025-04-01,110.0
NVDA,2025-04-02,110.27
NVDA,2025-04-03,101.66
NVDA,2025-04-04,94.18
NVDA,2025-04-07,97.5
NVDA,2025-04-08,96.17
NVDA,2025-04-09,114.17
NVDA,2025-04-10,107.42
NVDA,2025-04-11,110.77
NVDA,2025-04-14,110.56
NVDA,2025-04-15,112.04
NVDA,2025-04-16,104.34
NVDA,2025-04-17,101.35
NVDA,2025-04-21,96.77
NVDA,2025-04-22,98.75
NVDA,2025-04-23,102.57
NVDA,2025-04-24,106.28
NVDA,2025-04-25,110.85
NVDA,2025-04-28,108.58
NVDA,2025-04-29,108.87
NVDA,2025-04-30,108.77
NVDA,2025-05-01,111.45
NVDA,2025-05-02,114.34
NVDA,2025-05-05,113.66
NVDA,2025-05-06,113.38
NVDA,2025-05-07,116.9
NVDA,2025-05-08,117.21
NVDA,2025-05-09,116.49
NVDA,2025-05-12,122.83
NVDA,2025-05-13,129.75
NVDA,2025-05-14,135.15
NVDA,2025-05-15,134.64
NVDA,2025-05-16,135.21
NVDA,2025-05-19,135.38
NVDA,2025-05-20,134.19
NVDA,2025-05-21,131.62
NVDA,2025-05-22,132.64
NVDA,2025-05-23,131.11
NVDA,2025-05-27,135.31
NVDA,2025-05-28,134.62
NVDA,2025-05-29,139.0
NVDA,2025-05-30,134.94
NVDA,2025-06-02,137.19
NVDA,2025-06-03,141.02
NVDA,2025-06-04,141.72
NVDA,2025-06-05,139.79
NVDA,2025-06-06,141.52
NVDA,2025-06-09,142.43
NVDA,2025-06-10,143.76
NVDA,2025-06-11,142.64
NVDA,2025-06-12,144.81
NVDA,2025-06-13,141.78
NVDA,2025-06-16,144.5
NVDA,2025-06-17,143.93
NVDA,2025-06-18,145.29
NVDA,2025-06-20,143.66
NVDA,2025-06-23,143.98
NVDA,2025-06-24,147.7
NVDA,2025-06-25,154.1
NVDA,2025-06-26,154.81
NVDA,2025-06-27,157.54
NVDA,2025-06-30,157.78
NVDA,2025-07-01,153.1
NVDA,2025-07-02,157.04
NVDA,2025-07-03,159.13
NVDA,2025-07-07,158.03
NVDA,2025-07-08,159.79
NVDA,2025-07-09,162.66
NVDA,2025-07-10,163.88
NVDA,2025-07-11,164.7
NVDA,2025-07-14,163.85
NVDA,2025-07-15,170.47
NVDA,2025-07-16,171.14
NVDA,2025-07-17,172.77
NVDA,2025-07-18,172.18
NVDA,2025-07-21,171.15
NVDA,2025-07-22,166.81
NVDA,2025-07-23,170.55
NVDA,2025-07-24,173.51
NVDA,2025-07-25,173.27
NVDA,2025-07-28,176.51
NVDA,2025-07-29,175.28
NVDA,2025-07-30,179.03
NVDA,2025-07-31,177.63
NVDA,2025-08-01,173.49
NVDA,2025-08-04,179.76
NVDA,2025-08-05,178.02
NVDA,2025-08-06,179.18
NVDA,2025-08-07,180.53
NVDA,2025-08-08,182.46
NVDA,2025-08-11,181.82
NVDA,2025-08-12,182.92
NVDA,2025-08-13,181.35
NVDA,2025-08-14,181.78
NVDA,2025-08-15,180.21
NVDA,2025-08-18,181.77
NVDA,2025-08-19,175.41
NVDA,2025-08-20,175.17
